# dungeon and ruins interior tile set

img=images/tilesets/garden_ruins.png

# REFERENCE
# 1x1 floor tiles
#tile=1,0,448,128,96,64,36

# 2x2 floor tiles
#tile=2,0,256,256,192,64,84

# base tall walls
tile=17,0,0,128,256,64,224
tile=18,128,0,128,256,64,224
tile=19,256,0,128,256,64,224
tile=20,384,0,128,256,64,224
tile=21,512,0,128,256,64,224
tile=22,640,0,128,256,64,224
tile=23,768,0,128,256,64,224
tile=24,896,0,128,256,64,224
tile=25,1024,0,128,256,64,224
tile=26,1152,0,128,256,64,224
tile=27,1280,0,128,256,64,224
tile=28,1408,0,128,256,64,224

# base short cutaway walls
tile=29,0,256,128,256,64,224
tile=30,128,256,128,256,64,224
tile=31,256,256,128,256,64,224
tile=32,384,256,128,256,64,224
tile=33,512,256,128,256,64,224
tile=34,640,256,128,256,64,224
tile=35,768,256,128,256,64,224
tile=36,896,256,128,256,64,224
tile=37,1024,256,128,256,64,224
tile=38,1152,256,128,256,64,224
tile=39,1280,256,128,256,64,224
tile=40,1408,256,128,256,64,224

# base floors
tile=41,0,512,128,96,64,36
tile=42,128,512,128,96,64,36
tile=43,256,512,128,96,64,36
tile=44,384,512,128,96,64,36
tile=45,512,512,128,96,64,36
tile=46,640,512,128,96,64,36
tile=47,768,512,128,96,64,36
tile=48,896,512,128,96,64,36

# treasure chests
tile=65,0,704,128,128,64,96
tile=66,128,704,128,128,64,96
tile=67,256,704,128,128,64,96
tile=68,384,704,128,128,64,96
tile=69,512,704,128,128,64,96
tile=70,640,704,128,128,64,96
tile=71,768,704,128,128,64,96
tile=72,896,704,128,128,64,96
